"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 17 18:25:40 GMT 2024","Tue Sep 17 18:35:23 GMT 2024","583223","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_slurm_apply",""
"passed","Tue Sep 17 18:25:40 GMT 2024","Tue Sep 17 18:27:09 GMT 2024","89904","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","slurm_full_apply",""
"passed","Tue Sep 17 18:25:40 GMT 2024","Tue Sep 17 18:26:26 GMT 2024","46016","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","slurm_master_apply",""
