"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 19 17:55:40 GMT 2024","Thu Sep 19 17:58:54 GMT 2024","194593","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_training_apply",""
"passed","Thu Sep 19 17:55:40 GMT 2024","Thu Sep 19 17:59:09 GMT 2024","209610","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_node_groups_training_apply",""
"passed","Thu Sep 19 17:55:40 GMT 2024","Thu Sep 19 18:04:23 GMT 2024","523708","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_k8s_training_apply",""
"passed","Thu Sep 19 17:55:40 GMT 2024","Thu Sep 19 17:57:34 GMT 2024","114487","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","full_training_apply",""
