"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 20 05:49:35 GMT 2024","Fri Sep 20 05:53:00 GMT 2024","205312","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_inference_apply",""
"passed","Fri Sep 20 05:49:35 GMT 2024","Fri Sep 20 05:51:12 GMT 2024","97195","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_node_groups_inference_apply",""
"passed","Fri Sep 20 05:49:35 GMT 2024","Fri Sep 20 05:51:25 GMT 2024","110310","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","full_inference_apply",""
"passed","Fri Sep 20 05:49:35 GMT 2024","Fri Sep 20 05:49:47 GMT 2024","12785","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_k8s_inference_apply",""
