"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 23 01:27:26 GMT 2024","Mon Sep 23 01:35:49 GMT 2024","503222","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_k8s_training_apply",""
"passed","Mon Sep 23 01:27:26 GMT 2024","Mon Sep 23 01:31:14 GMT 2024","228265","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_node_groups_training_apply",""
"passed","Mon Sep 23 01:27:26 GMT 2024","Mon Sep 23 01:31:02 GMT 2024","216380","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_training_apply",""
"passed","Mon Sep 23 01:27:26 GMT 2024","Mon Sep 23 01:29:26 GMT 2024","120307","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","full_training_apply",""
