"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 21 15:36:50 GMT 2024","Thu Nov 21 15:38:35 GMT 2024","105358","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_node_groups_inference_apply",""
"passed","Thu Nov 21 15:36:50 GMT 2024","Thu Nov 21 15:38:13 GMT 2024","83952","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","full_inference_apply",""
"passed","Thu Nov 21 15:36:50 GMT 2024","Thu Nov 21 15:42:20 GMT 2024","330232","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_inference_apply",""
"passed","Thu Nov 21 15:36:50 GMT 2024","Thu Nov 21 15:36:59 GMT 2024","9290","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_k8s_inference_apply",""
