trace_family	policy	sensitivity	n_requests	n_completed	n_rejected	n_failed	p50_s	p95_s	p99_s	goodput_30s	goodput_60s	goodput_120s	hot_hit_rate	l1_hit_rate	evictions	fetched_gib	reserved_gpu_hours	utilization	cost_usd
correlated	snapshot+shortest-switch-cost+lru	high	1689	1689	0	0	32.933792	166.676972	701.480897	0.4512	0.7756	0.9017	0.1255	0.7419	17	9096.82	50.01	0.4318	1028.74
correlated	snapshot+shortest-switch-cost+gdsf	high	1689	1689	0	0	32.407917	151.997786	691.002555	0.4541	0.7655	0.9147	0.1249	0.7436	5	9337.82	47.56	0.4458	1040.15
correlated	conventional+shortest-switch-cost+lru	high	1689	1689	0	0	5020.883489	18892.496216	31157.515323	0.0095	0.0112	0.0166	0.0474	0.2416	513	32047.62	262.71	0.4416	3987.69
uniform	snapshot+shortest-switch-cost+lru	base	1796	1796	0	0	23.462981	147.840545	555.649811	0.6353	0.8447	0.9276	0.1314	0.7439	72	7371.46	51.32	0.3591	298.84
uniform	snapshot+shortest-switch-cost+lfu	base	1796	1796	0	0	23.133667	126.280083	441.582913	0.6353	0.8536	0.9427	0.1130	0.7556	80	6082.77	49.13	0.3528	266.58
uniform	snapshot+shortest-switch-cost+size	base	1796	1796	0	0	22.954821	146.376325	451.054328	0.6448	0.8536	0.9326	0.1281	0.7673	22	7314.59	48.24	0.3626	288.61
uniform	snapshot+shortest-switch-cost+gdsf	base	1796	1796	0	0	24.175351	151.918220	492.778503	0.6175	0.8291	0.9220	0.1192	0.7266	68	7746.69	47.71	0.3969	295.66
uniform	snapshot+least-loaded+lru	base	1796	1796	0	0	481.506258	1507.272927	2146.239957	0.0429	0.1024	0.1854	0.0050	0.0785	1084	33292.42	64.94	0.8150	857.42
uniform	conventional+shortest-switch-cost+lru	base	1796	1796	0	0	896.278993	5099.209458	5786.265654	0.0273	0.0301	0.1258	0.0445	0.2984	528	18328.53	91.85	0.6535	637.54
uniform	snapshot+shortest-switch-cost+lru+topk-adaptive-k8	base	1796	1796	0	0	23.656043	147.154489	446.397080	0.6225	0.8402	0.9226	0.1097	0.7634	97	6985.76	48.05	0.3775	281.45
uniform	snapshot+shortest-switch-cost+lru+bounded-queue	base	1796	1796	0	0	23.145210	128.307384	441.937570	0.6481	0.8653	0.9399	0.1258	0.7656	86	6305.86	50.46	0.3364	274.99
uniform	snapshot+shortest-switch-cost+lru+pipeline-next	base	1796	1796	0	0	23.408349	146.072637	521.306347	0.6470	0.8463	0.9315	0.1136	0.7790	359	12961.25	48.09	0.3825	401.10
uniform	snapshot+shortest-switch-cost+lru	low	1796	1796	0	0	25.374014	340.454825	600.285826	0.5635	0.7945	0.8725	0.1108	0.6236	291	9216.62	51.81	0.4761	98.44
uniform	snapshot+shortest-switch-cost+gdsf	low	1796	1796	0	0	24.571679	377.552729	669.107117	0.5612	0.7622	0.8480	0.1125	0.6414	175	10706.29	51.78	0.5118	98.39
uniform	conventional+shortest-switch-cost+lru	low	1796	1796	0	0	703.563439	4429.131167	7249.337790	0.0412	0.0640	0.1854	0.0807	0.3241	637	15978.40	102.05	0.5924	193.89
