"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 20 12:59:14 GMT 2024","Fri Sep 20 13:09:02 GMT 2024","588253","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_slurm_apply",""
"passed","Fri Sep 20 12:59:14 GMT 2024","Fri Sep 20 12:59:54 GMT 2024","40784","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","slurm_master_apply",""
"passed","Fri Sep 20 12:59:14 GMT 2024","Fri Sep 20 13:00:31 GMT 2024","77630","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","slurm_full_apply",""
