run_id	status	demand_to_http_ready_seconds	demand_to_kubernetes_ready_seconds	worker_restore_seconds	demand_to_two_semantic_responses_seconds	semantic_request_1_seconds	semantic_request_2_seconds	semantic_pass_count	local_evidence
p2-20260818t0249	PASS	NA	12.000	3.614	23.179985	1.008622	1.013347	2	/home/tux/.local/state/archvteams-2407/openfold2-native-f7-20260818T0221Z/runs/p2-20260818t0249
p3-20260818t0251	PASS	NA	11.000	3.599	22.074264	1.020679	0.997896	2	/home/tux/.local/state/archvteams-2407/openfold2-native-f7-20260818T0221Z/runs/p3-20260818t0251
p4-20260818t0252	PASS	NA	11.000	3.586	22.733563	1.009275	0.997456	2	/home/tux/.local/state/archvteams-2407/openfold2-native-f7-20260818T0221Z/runs/p4-20260818t0252
