run_id	status	demand_to_http_ready_seconds	worker_restore_seconds	demand_to_two_semantic_responses_seconds	semantic_request_1_seconds	semantic_request_2_seconds	semantic_pass_count	local_evidence
p6-earlyprobe	PASS	12.000	3.584	14.455925	1.929074	1.001957	2	/home/tux/.local/state/archvteams-2407/openfold2-native-f7-20260818T0221Z/runs/p6-earlyprobe
p7-earlyprobe	PASS	13.000	3.570	14.727526	1.951462	1.020497	2	/home/tux/.local/state/archvteams-2407/openfold2-native-f7-20260818T0221Z/runs/p7-earlyprobe
p8-earlyprobe	PASS	12.000	3.568	14.157038	1.955740	1.018719	2	/home/tux/.local/state/archvteams-2407/openfold2-native-f7-20260818T0221Z/runs/p8-earlyprobe
