"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 22 17:47:38 GMT 2024","Sun Sep 22 17:48:13 GMT 2024","35016","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","slurm_master_apply",""
"passed","Sun Sep 22 17:47:38 GMT 2024","Sun Sep 22 17:56:48 GMT 2024","550600","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_slurm_apply",""
"passed","Sun Sep 22 17:47:38 GMT 2024","Sun Sep 22 17:48:48 GMT 2024","70153","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","slurm_full_apply",""
