"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 15:32:16 GMT 2024","Mon Sep 30 15:46:03 GMT 2024","827974","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_inference_apply",""
"passed","Mon Sep 30 15:32:16 GMT 2024","Mon Sep 30 15:33:44 GMT 2024","88284","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","full_inference_apply",""
"passed","Mon Sep 30 15:32:16 GMT 2024","Mon Sep 30 15:33:42 GMT 2024","86769","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_node_groups_inference_apply",""
"passed","Mon Sep 30 15:32:16 GMT 2024","Mon Sep 30 15:32:25 GMT 2024","9372","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_k8s_inference_apply",""
