table	model	class_or_axis	key	usd	comparator_usd	flag
fully_loaded	OpenFold2	prepared_switch	D=50000,offer=on_demand,reuse=None,R=1000	0.026797	1339.87/1503.14	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=100000,offer=on_demand,reuse=None,R=1000	0.022796	2279.64/2606.18	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=500000,offer=on_demand,reuse=None,R=1000	0.019596	9797.82/11430.54	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000000,offer=on_demand,reuse=None,R=1000	0.019196	19195.55/22460.98	warm_cheaper
fully_loaded	Boltz2	prepared_switch	D=1000,offer=preemptible,reuse=None,R=None	0.417351	417.35/420.40	cheaper_than_warm
fully_loaded	Boltz2	prepared_switch	D=10000,offer=preemptible,reuse=None,R=None	0.057265	572.65/603.10	cheaper_than_warm
fully_loaded	Boltz2	prepared_switch	D=50000,offer=preemptible,reuse=None,R=None	0.025257	1262.85/1415.10	cheaper_than_warm
fully_loaded	Boltz2	prepared_switch	D=100000,offer=preemptible,reuse=None,R=None	0.021256	2125.60/2430.11	cheaper_than_warm
fully_loaded	Boltz2	prepared_switch	D=500000,offer=preemptible,reuse=None,R=None	0.018055	9027.64/10550.15	warm_cheaper
fully_loaded	Boltz2	prepared_switch	D=1000000,offer=preemptible,reuse=None,R=None	0.017655	17655.18/20700.20	warm_cheaper
fully_loaded	Boltz2	prepared_switch	D=1000,offer=on_demand,reuse=None,R=None	0.430995	430.99/436.45	cheaper_than_warm
fully_loaded	Boltz2	prepared_switch	D=10000,offer=on_demand,reuse=None,R=None	0.070908	709.08/763.61	cheaper_than_warm
fully_loaded	Boltz2	prepared_switch	D=50000,offer=on_demand,reuse=None,R=None	0.038901	1945.03/2217.66	cheaper_than_warm
fully_loaded	Boltz2	prepared_switch	D=100000,offer=on_demand,reuse=None,R=None	0.034900	3489.96/4035.23	warm_cheaper
fully_loaded	Boltz2	prepared_switch	D=500000,offer=on_demand,reuse=None,R=None	0.031699	15849.42/18575.77	warm_cheaper
fully_loaded	Boltz2	prepared_switch	D=1000000,offer=on_demand,reuse=None,R=None	0.031299	31298.74/36751.44	warm_cheaper
fully_loaded	Boltz2	cold_switch	D=1000,offer=preemptible,reuse=1,R=None	0.669889	669.89/717.50	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000,offer=preemptible,reuse=1,R=None	1.083147	0.669889	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=10000,offer=preemptible,reuse=1,R=None	0.309803	3098.03/3574.13	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=10000,offer=preemptible,reuse=1,R=None	0.723061	0.309803	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=50000,offer=preemptible,reuse=1,R=None	0.277795	13889.76/16270.29	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=50000,offer=preemptible,reuse=1,R=None	0.691053	0.277795	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=100000,offer=preemptible,reuse=1,R=None	0.273794	27379.42/32140.48	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=100000,offer=preemptible,reuse=1,R=None	0.687052	0.273794	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=500000,offer=preemptible,reuse=1,R=None	0.270593	135296.72/159102.00	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=500000,offer=preemptible,reuse=1,R=None	0.683852	0.270593	unmeasured-scenario
