"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 21 17:48:27 GMT 2024","Sat Sep 21 17:49:53 GMT 2024","86661","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","slurm_full_apply",""
"passed","Sat Sep 21 17:48:27 GMT 2024","Sat Sep 21 17:57:28 GMT 2024","541905","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_slurm_apply",""
"passed","Sat Sep 21 17:48:27 GMT 2024","Sat Sep 21 17:49:13 GMT 2024","46911","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","slurm_master_apply",""
