"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 22 14:49:49 GMT 2024","Sun Sep 22 14:58:55 GMT 2024","546164","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_slurm_apply",""
"passed","Sun Sep 22 14:49:49 GMT 2024","Sun Sep 22 14:51:52 GMT 2024","123235","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","slurm_master_apply",""
"passed","Sun Sep 22 14:49:49 GMT 2024","Sun Sep 22 14:51:41 GMT 2024","112264","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","slurm_full_apply",""
