"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 19 17:37:27 GMT 2024","Thu Sep 19 17:38:04 GMT 2024","37757","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","wireguard_apply",""
"passed","Thu Sep 19 17:37:27 GMT 2024","Thu Sep 19 17:38:28 GMT 2024","61806","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_wireguard_apply",""
