"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 22 04:04:04 GMT 2024","Sun Sep 22 04:04:46 GMT 2024","42226","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","slurm_master_apply",""
"passed","Sun Sep 22 04:04:04 GMT 2024","Sun Sep 22 04:05:56 GMT 2024","112566","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","slurm_full_apply",""
"passed","Sun Sep 22 04:04:04 GMT 2024","Sun Sep 22 04:12:33 GMT 2024","509879","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_slurm_apply",""
