classification	variant	trial	run_id	checkpoint_id	manifest_sha256	artifact_bytes	image_io_mode	prewarm_seconds	restore_seconds	demand_to_http_ready_seconds	demand_to_kubernetes_ready_seconds	semantic_request_1_seconds	semantic_request_2_seconds	demand_to_two_semantic_responses_seconds	response_timing_contract	request_count	pod_spec_sha256	status	evidence
counted	leader-direct	1	b2rb1-0924	boltz2-native-f7-v1	6539b9f50a71c9f5fb6a3fbacd44f5d5ea41003539b6563682a38600d1492456	16241056616	direct	0	18.868	25.711837	27.021134	1.399536	0.273126	27.664935	request-dispatch-to-complete-http-body/v1	2	e63970ea475eaa86c3e2418d6efee74cc9b87ca87c70e9480c685729ff2b93af	PASS	<private-evidence-root>/boltz2-native-f7-20260818T0310Z/runs/b2rb1-0924
counted	leader-direct	2	b2rb2-0925	boltz2-native-f7-v1	6539b9f50a71c9f5fb6a3fbacd44f5d5ea41003539b6563682a38600d1492456	16241056616	direct	0	18.465	25.484587	26.391013	1.406047	0.288888	27.342018	request-dispatch-to-complete-http-body/v1	2	e63970ea475eaa86c3e2418d6efee74cc9b87ca87c70e9480c685729ff2b93af	PASS	<private-evidence-root>/boltz2-native-f7-20260818T0310Z/runs/b2rb2-0925
counted	leader-direct	3	b2rb3-0927	boltz2-native-f7-v1	6539b9f50a71c9f5fb6a3fbacd44f5d5ea41003539b6563682a38600d1492456	16241056616	direct	0	17.880	24.698911	25.741550	1.400760	0.278996	26.639785	request-dispatch-to-complete-http-body/v1	2	e63970ea475eaa86c3e2418d6efee74cc9b87ca87c70e9480c685729ff2b93af	PASS	<private-evidence-root>/boltz2-native-f7-20260818T0310Z/runs/b2rb3-0927
summary	leader-direct	median-n3	-	boltz2-native-f7-v1	6539b9f50a71c9f5fb6a3fbacd44f5d5ea41003539b6563682a38600d1492456	16241056616	direct	0	18.465	25.484587	26.391013	1.400760	0.278996	27.342018	request-dispatch-to-complete-http-body/v1	2	e63970ea475eaa86c3e2418d6efee74cc9b87ca87c70e9480c685729ff2b93af	PASS	<private-evidence-root>/boltz2-native-f7-20260818T0310Z/runs
