classification	variant	trial	run_id	checkpoint_id	manifest_sha256	artifact_bytes	image_io_mode	prewarm_seconds	restore_ms	demand_to_http_ready_ms	demand_to_kubernetes_ready_ms	demand_to_two_ms	semantic_total_ms	call1_ms	call2_ms	request_count	pod_spec_sha256	status	evidence
counted	leader-direct	1	b2p2-0337	boltz2-native-f7-v1	6539b9f50a71c9f5fb6a3fbacd44f5d5ea41003539b6563682a38600d1492456	16241056616	direct	0	17017	23753.685	24265.334	25909.834	19134.357	1543.270	443.073	2	e63970ea475eaa86c3e2418d6efee74cc9b87ca87c70e9480c685729ff2b93af	PASS	/home/tux/.local/state/archvteams-2407/boltz2-native-f7-20260818T0310Z/runs/b2p2-0337
counted	leader-direct	2	b2p3-0343	boltz2-native-f7-v1	6539b9f50a71c9f5fb6a3fbacd44f5d5ea41003539b6563682a38600d1492456	16241056616	direct	0	17145	24288.388	25564.981	26086.703	18771.843	1496.779	282.542	2	e63970ea475eaa86c3e2418d6efee74cc9b87ca87c70e9480c685729ff2b93af	PASS	/home/tux/.local/state/archvteams-2407/boltz2-native-f7-20260818T0310Z/runs/b2p3-0343
counted	leader-direct	3	b2p4-0344	boltz2-native-f7-v1	6539b9f50a71c9f5fb6a3fbacd44f5d5ea41003539b6563682a38600d1492456	16241056616	direct	0	17753	24517.988	25734.361	26450.581	19636.290	1497.235	287.273	2	e63970ea475eaa86c3e2418d6efee74cc9b87ca87c70e9480c685729ff2b93af	PASS	/home/tux/.local/state/archvteams-2407/boltz2-native-f7-20260818T0310Z/runs/b2p4-0344
summary	leader-direct	median-n3	-	boltz2-native-f7-v1	6539b9f50a71c9f5fb6a3fbacd44f5d5ea41003539b6563682a38600d1492456	16241056616	direct	0	17145	24288.388	25564.981	26086.703	19134.357	1497.235	287.273	2	e63970ea475eaa86c3e2418d6efee74cc9b87ca87c70e9480c685729ff2b93af	PASS	/home/tux/.local/state/archvteams-2407/boltz2-native-f7-20260818T0310Z/runs
rejected	writeback-full-prewarm	1	b2wb1-0341	boltz2-native-f7-wb-v1	7601a457c509488cccf80ecd150f2a68eb4b237e3142156d14da075f49af8a5d	16241056622	writeback	16.292456	25764	32938.473	33692.151	34620.570	27336.499	1394.254	278.231	2	e63970ea475eaa86c3e2418d6efee74cc9b87ca87c70e9480c685729ff2b93af	PASS_REJECTED_SLOWER	/home/tux/.local/state/archvteams-2407/boltz2-native-f7-20260818T0310Z/runs/b2wb1-0341
excluded	probe-node-loss	1	b2p1-0333	boltz2-native-f7-v1	6539b9f50a71c9f5fb6a3fbacd44f5d5ea41003539b6563682a38600d1492456	16241056616	direct	0	17617	-	-	-	-	-	-	0	e63970ea475eaa86c3e2418d6efee74cc9b87ca87c70e9480c685729ff2b93af	EXCLUDED_INFRASTRUCTURE	/home/tux/.local/state/archvteams-2407/boltz2-native-f7-20260818T0310Z/runs/b2p1-0333
