"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 19 18:08:45 GMT 2024","Thu Sep 19 18:12:16 GMT 2024","211914","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_inference_apply",""
"passed","Thu Sep 19 18:08:45 GMT 2024","Thu Sep 19 18:10:59 GMT 2024","134619","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_node_groups_inference_apply",""
"passed","Thu Sep 19 18:08:45 GMT 2024","Thu Sep 19 18:08:53 GMT 2024","8887","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_k8s_inference_apply",""
"passed","Thu Sep 19 18:08:45 GMT 2024","Thu Sep 19 18:10:15 GMT 2024","90731","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","full_inference_apply",""
