"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 10:32:57 GMT 2024","Wed Sep 18 10:34:35 GMT 2024","98217","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","full_training_apply",""
"passed","Wed Sep 18 10:32:57 GMT 2024","Wed Sep 18 10:36:49 GMT 2024","232445","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_training_apply",""
"passed","Wed Sep 18 10:32:57 GMT 2024","Wed Sep 18 10:41:15 GMT 2024","498037","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","k8s_node_groups_training_apply",""
"passed","Wed Sep 18 10:32:57 GMT 2024","Wed Sep 18 10:41:54 GMT 2024","537788","","tests/main.tftest.hcl","","tests/main.tftest.hcl","","test_mode_k8s_training_apply",""
