mode	run_id	status	demand_to_http_ready_s	demand_to_kubernetes_ready_s	demand_to_two_semantic_s	worker_restore_s	request_1_s	request_2_s
direct	p6	PASS	23.694295	23.427543	24.581476	15.735	0.609911	0.272718
direct	p7	PASS	24.147585	24.999470	25.028520	15.723	0.605700	0.271201
direct	p8	PASS	23.898192	25.037200	24.776636	15.727	0.603024	0.271714
buffered	p9	PASS	15.174964	15.906366	16.051279	6.988	0.601640	0.270993
buffered	p10	PASS	9.481195	9.485825	10.352323	1.385	0.601493	0.266078
buffered	p11	PASS	9.537013	10.171485	10.403079	1.361	0.597288	0.265235
