run_id	status	t0_at	demand_to_http_ready_seconds	demand_to_kubernetes_ready_seconds	semantic_request_1_seconds	semantic_request_2_seconds	demand_to_two_semantic_responses_seconds	worker_restore_seconds	second_response_received_at	validation_finished_at	response_timing_contract	local_evidence
pmp-rb-1142-r1	PASS	2026-08-18T11:42:40.003940614Z	9.401879	9.996060	0.589204	0.255925	10.249097	1.346	2026-08-18T11:42:50.253037Z	2026-08-18T11:42:50.254489Z	request-dispatch-to-complete-http-body/v1	<private-evidence-root>/proteinmpnn-native-f7-response-20260818T114151Z/runs/pmp-rb-1142-r1
pmp-rb-1142-r2	PASS	2026-08-18T11:45:58.127778100Z	9.494261	9.872222	0.597313	0.248845	10.342388	1.344	2026-08-18T11:46:08.470166Z	2026-08-18T11:46:08.471616Z	request-dispatch-to-complete-http-body/v1	<private-evidence-root>/proteinmpnn-native-f7-response-20260818T114151Z/runs/pmp-rb-1142-r2
pmp-rb-1142-r3	PASS	2026-08-18T11:47:38.215678398Z	9.460347	9.784322	0.390123	0.244145	10.096532	1.310	2026-08-18T11:47:48.312210Z	2026-08-18T11:47:48.313641Z	request-dispatch-to-complete-http-body/v1	<private-evidence-root>/proteinmpnn-native-f7-response-20260818T114151Z/runs/pmp-rb-1142-r3
