"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1404","valid_two_rack_production_configuration","","","passed","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","","full_training_kuberay_apply","","","skipped","","","tests/k8s-training-kuberay.tftest.hcl","tests/k8s-training-kuberay.tftest.hcl",""
"","701","valid_one_rack_production_configuration","","","passed","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","497","reject_fractional_rack_count","","","passed","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","1414","k8s_node_groups_training_kuberay_apply","","","broken","","","tests/k8s-training-kuberay.tftest.hcl","tests/k8s-training-kuberay.tftest.hcl",""
"","1697","k8s_node_groups_training_apply","","","broken","","","tests/main.tftest.hcl","tests/main.tftest.hcl",""
"","516","reject_missing_rollout_strategy","","","passed","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","575590","k8s_training_kuberay_apply","","","passed","","","tests/k8s-training-kuberay.tftest.hcl","tests/k8s-training-kuberay.tftest.hcl",""
"","543437","k8s_training_apply","","","passed","","","tests/main.tftest.hcl","tests/main.tftest.hcl",""
"","","full_training_apply","","","skipped","","","tests/main.tftest.hcl","tests/main.tftest.hcl",""
"","","test_mode_k8s_training_apply","","","skipped","","","tests/main.tftest.hcl","tests/main.tftest.hcl",""
"","501","reject_missing_infiniband_fabric_for_multiple_racks","","","passed","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","509","reject_nonzero_surge","","","passed","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
